datetime,mains,fridge_pred_watts,fridge_pred_prob,fridge_true_watts,microwave_pred_watts,microwave_pred_prob,microwave_true_watts,dishwasher_pred_watts,dishwasher_pred_prob,dishwasher_true_watts,washing_machine_pred_watts,washing_machine_pred_prob,washing_machine_true_watts
2011-04-18 13:22:06+00:00,344.17334,41.644352,0.2783727,0.0,203.4375,0.014743339,0.0,102.91284,0.07633083,0.0,118.7099,0.08687275,0.0
2011-04-18 13:22:12+00:00,341.57166,29.158417,0.2081148,2.0,81.016754,0.0017371436,1.6666666,34.713943,0.028303837,0.0,53.312897,0.03132597,0.0
2011-04-18 13:22:18+00:00,341.74,29.253933,0.2386847,2.0,46.190063,0.00094030984,1.6666666,13.966507,0.021134883,0.16666667,30.694855,0.0210709,0.0
2011-04-18 13:22:24+00:00,341.27664,29.242996,0.25024655,1.0,33.625458,0.00075983425,0.8333333,6.1428833,0.019173836,0.0,22.741913,0.01915028,0.0
2011-04-18 13:22:30+00:00,341.37668,28.73552,0.24952562,2.0,26.51538,0.0006707221,1.6666666,1.2184906,0.017759824,0.0,17.640472,0.017381063,0.0
2011-04-18 13:22:36+00:00,343.77664,28.459179,0.24866962,2.0,23.222076,0.0006317529,1.6666666,0.0,0.017053125,0.0,15.130524,0.016501319,0.0
2011-04-18 13:22:42+00:00,342.67334,28.318481,0.24805215,2.0,21.699951,0.00061363826,1.6666666,0.0,0.01670392,0.0,13.895935,0.016065454,0.0
2011-04-18 13:22:48+00:00,343.61832,28.219128,0.24725819,1.0,20.970337,0.0006045267,0.8333333,0.0,0.01654011,0.16666667,13.268341,0.015828356,0.0
2011-04-18 13:22:54+00:00,343.19165,28.119652,0.24611777,2.0,20.608368,0.00059949985,1.6666666,0.0,0.016469132,0.0,12.927826,0.01566478,0.0
2011-04-18 13:23:00+00:00,345.16333,28.014362,0.24473134,2.0,20.428894,0.0005965107,1.6666666,0.0,0.016451122,0.16666667,12.735107,0.015534822,0.0
