datetime,mains,fridge_pred_watts,fridge_pred_prob,fridge_true_watts,microwave_pred_watts,microwave_pred_prob,microwave_true_watts,dishwasher_pred_watts,dishwasher_pred_prob,dishwasher_true_watts,washing_machine_pred_watts,washing_machine_pred_prob,washing_machine_true_watts
2011-04-16 05:11:24+00:00,758.29,53.37576,0.37610418,0.0,271.62787,0.01606005,0.0,146.155,0.11710934,0.0,352.5015,0.13727506,0.0
2011-04-16 05:11:30+00:00,758.605,36.67392,0.29961517,39.5,74.34515,0.0015908055,0.6666667,54.05661,0.055501454,0.16666667,118.2453,0.07243232,0.0
2011-04-16 05:11:36+00:00,758.3117,32.92966,0.2906058,39.666668,32.74298,0.0010213325,0.6666667,42.859375,0.052510574,0.16666667,74.64661,0.070614114,0.0
2011-04-16 05:11:42+00:00,758.6633,30.029747,0.27611881,39.333332,14.297607,0.00084780407,0.6666667,37.6286,0.052604873,0.16666667,57.971436,0.07451777,0.0
2011-04-16 05:11:48+00:00,759.28,27.246407,0.2536206,20.0,2.729004,0.0007428267,0.33333334,34.677704,0.054183494,0.0,49.235596,0.076723784,0.0
2011-04-16 05:11:54+00:00,760.2783,24.40084,0.22724955,39.5,0.0,0.000679127,0.6666667,33.831726,0.057637975,0.0,45.784607,0.078953825,0.0
2011-04-16 05:12:00+00:00,759.2033,22.029442,0.20585376,39.333332,0.0,0.0006366947,0.6666667,33.376007,0.060763426,0.0,44.122864,0.08074816,0.0
2011-04-16 05:12:06+00:00,758.7233,20.46666,0.1933217,39.5,0.0,0.00061090343,0.6666667,32.988373,0.062642686,0.33333334,41.757324,0.081324495,0.0
2011-04-16 05:12:12+00:00,762.1667,19.450096,0.18585874,19.666666,0.0,0.0005941327,0.33333334,32.19519,0.0628935,0.0,38.552673,0.0812534,0.0
2011-04-16 05:12:18+00:00,763.96,18.795593,0.18148997,39.333332,0.0,0.000582052,0.6666667,31.34665,0.062472466,0.33333334,35.597107,0.08100697,0.0
2011-04-16 05:12:24+00:00,763.06836,18.416817,0.17941661,19.666666,0.0,0.00057588675,0.33333334,30.693176,0.061914425,0.16666667,33.332214,0.08117155,0.0
2011-04-16 05:12:30+00:00,763.9367,18.159348,0.17829807,0.0,0.0,0.000573413,0.0,30.259705,0.061402313,0.0,31.678223,0.08147867,0.0
2011-04-16 05:12:36+00:00,764.135,17.970818,0.17764913,19.833334,0.0,0.0005727603,0.33333334,29.956665,0.060933545,0.0,30.458801,0.08182364,0.0
2011-04-16 05:12:42+00:00,765.0334,17.827576,0.17728445,39.333332,0.0,0.00057308923,0.6666667,29.71759,0.06051642,0.33333334,29.533447,0.08220256,0.0
2011-04-16 05:12:48+00:00,778.37994,17.715141,0.1770262,39.5,0.0,0.00057358405,0.6666667,29.51059,0.060169257,0.0,28.77472,0.08253591,0.0
